parameter,base_value,low_value,high_value,roi_at_base,roi_at_low,roi_at_high,roi_swing
unit_cost,2.0,1.0,3.0,16.918168081254233,24.823649919967064,13.14886945131689,11.674780468650175
retention_effectiveness,0.1,0.05,0.15000000000000002,16.918168081254233,7.959084040627117,25.8772521218814,17.918168081254287
