model,cv_roc_auc_mean,cv_roc_auc_std,cv_avg_precision_mean,cv_avg_precision_std
random_forest,0.8160100579992555,0.012572457572476565,0.8828089527862509,0.006773035056465299
logistic_regression,0.8096016515876642,0.015021185472634847,0.8816310435044616,0.009383286557570768
xgboost,0.8074503020750878,0.014234065520481896,0.877850824482827,0.007594145387185019
lightgbm,0.7922583913692879,0.013826551749690247,0.8664891931088267,0.00784501267703149
